station,codeTaxa,nombre
C02,ACRU,78
C02,ACSA,1
C01,ACRU,10
C01,ACPE,9
E02,ACRU,19
E02,ABBA,1
E03,ACRU,3
E03,ACSA,5
C03,ACRU,59
C03,ACSA,1
C05,ACRU,33
C05,ACSA,20
B01,ACRU,135
B01,ABBA,6
B01,THOC,1
B01,PIST,1
B01,QURU,1
B01,PISP,1
B01,ACSA,1
B00,THOC,7
B00,ACRU,23
B00,ABBA,2
A01,THOC,17
A01,TSCA,26
A01,ABBA,25
A01,BEPA,1
A02,ABBA,2
A02,ACRU,14
A02,POGR,1
A03,ACRU,62
A03,TSCA,1
A03,PIST,1
A03,ABBA,3
A04,ACRU,24
A04,ACSA,1
A04,ABBA,3
A04,BEPA,1
A05,ACRU,17
A05,ACSA,5
C09,ACSA,41
D05,ACSA,19
D05,ACRU,22
D02,ACRU,34
D02,ABBA,2
D02,THOC,10
D02,ACSA,1
D01,ABBA,24
D01,ACRU,30
D01,THOC,1
E04,ACRU,50
E04,ACSA,12
E04,ABBA,2
E07,ACRU,49
E07,ACSA,28
E07,FAGR,1
C06,ACSA,33
C06,ACRU,26
D07,ACRU,8
D07,ACSA,9
D07,ACPE,3
D07,BEPA,1
C07,ACSA,25
C07,ACRU,1
C08,ACSA,19
C08,ACRU,1
C04,ACRU,82
C04,ACSA,7
B02,ACRU,57
B02,POTR,1
B02,POGR,3
B02,BEPA,1
B02,ABBA,15
B02,THOC,2
B02,PIST,1
B03,ACRU,63
B03,ABBA,6
B03,POGR,1
A10,FAGR,1
A10,ACRU,1
A10,ACSA,5
B04,ACRU,29
B04,ACSA,4
D03,ACRU,33
D03,ACSA,7
D03,ABBA,1
E06,ACRU,42
E06,ABBA,3
E06,ACSA,3
E05,ACRU,44
E05,ACSA,6
E05,ABBA,13
E05,THOC,1
E08,ACRU,45
E08,ACSA,28
E08,FAGR,4
E08,BEPA,3
E08,ABBA,1
E09,ACSA,43
E09,ACRU,45
E09,FAGR,4
E10,ACRU,9
E10,ACSA,19
B06,ACSA,47
B06,ACRU,19
B08,ACSA,5
B05,ACSA,37
B05,ACRU,17
A07,ACSA,9
A07,ACRU,11
B07,ACSA,26
A11,ACSA,30
A11,ACRU,2
C10,ABBA,2
C10,ACRU,39
C10,BEPA,1
C10,ACSA,9
A08,ACRU,83
A08,ACSA,33
D09,ACSA,52
D09,ACRU,18
D10,ACRU,10
D10,ACSA,4
D10,BEPA,2
D10,FAGR,1
A09,ACSA,12
A09,ACRU,2
D04,BEPA,1
D04,ABBA,5
D04,ACSA,10
D04,ACRU,49
D08,ACSA,28
D08,ACPE,3
D08,ACRU,7
D06,ACSA,5
D06,ACRU,21
A06,POGR,1
A06,ACRU,18
A06,ACSA,4
A06,ABBA,2
