station,codeTaxa,nombre
C02,ABBA,22
C02,THOC,6
C02,PISP,1
C02,ACRU,67
E02,ACRU,65
E02,ABBA,10
E02,FAGR,1
E02,POGR,1
E03,ACRU,22
E03,ACSA,5
E03,ABBA,4
E03,FAGR,1
C01,ACRU,35
C01,THOC,8
C01,ABBA,4
C01,ACRU,48
C01,ACPE,1
B01,ACPE,1
B01,ABBA,51
B01,THOC,3
B01,PISP,1
B01,ACRU,3
B00,THOC,17
B00,ABBA,4
B00,ACRU,5
B00,PIGL,2
E04,ACRU,18
E04,ABBA,6
E04,FAGR,2
E04,ACSA,2
C03,ACRU,51
C03,ABBA,6
C03,POGR,1
C05,ACRU,11
C05,ACSA,2
C05,ABBA,4
C09,FAGR,1
A01,THOC,14
A01,ACRU,4
A01,ABBA,15
A01,BEPA,6
A01,PIGL,1
A02,ACRU,36
A02,THOC,4
A02,ABBA,20
A03,ACRU,17
A03,POGR,1
A03,ABBA,5
A04,ACRU,18
A04,ACSA,3
A04,ABBA,5
A05,ABBA,3
A05,ACRU,10
A05,ACSA,8
A05,POGR,1
C04,ACRU,44
C04,ABBA,1
C04,BEAL,2
C04,FAGR,1
C06,ACRU,24
C06,FAGR,1
C06,ACSA,3
C06,ABBA,12
D02,THOC,5
D02,ACRU,35
D02,ABBA,20
D02,PIGL,4
D01,THOC,18
D01,ABBA,6
D01,ACRU,51
D05,ACRU,22
D05,ABBA,4
B03,ACRU,45
B03,ABBA,27
B03,FAGR,4
B03,THOC,7
B03,PISP,2
B04,ACRU,77
B04,FAGR,5
B04,ABBA,2
B04,ACSA,1
B04,PISP,1
C07,ACRU,1
C07,FAGR,1
C07,ACSA,2
C08,ACSA,1
C08,FAGR,1
C10,ABBA,4
C10,FAGR,5
D03,ACRU,30
D03,ABBA,9
D07,FAGR,1
D09,FAGR,17
E06,ABBA,29
E06,ACRU,18
E06,ACSA,1
D06,ACRU,28
D06,FAGR,2
D06,ACSA,1
D06,ABBA,1
E05,ACRU,21
E05,ABBA,9
E05,ACSA,1
E08,FAGR,3
E08,ACSA,3
E09,FAGR,8
E09,ABBA,1
E09,ACRU,2
E10,FAGR,3
E10,ACSA,2
E10,BEAL,2
E10,ACRU,1
B02,ACRU,30
B02,ABBA,18
B02,THOC,2
B08,ACSA,1
B08,ABBA,10
B08,FAGR,24
B05,ACRU,17
B05,OSVI,6
B05,ACSA,25
B05,FAGR,5
B05,ABBA,3
A07,ABBA,15
A07,FAGR,3
A07,PIST,1
A07,ACRU,12
A07,ACSA,4
B07,OSVI,17
B07,FAGR,12
B07,ACRU,1
B07,ABBA,3
B07,ACSA,1
B07,BEAL,2
A10,FAGR,37
A10,ABBA,11
A11,FAGR,99
A11,ABBA,7
B06,OSVI,36
B06,FAGR,5
B06,ACSA,2
B06,ABBA,1
B06,ACRU,5
A08,FAGR,6
A08,ABBA,8
A08,ACRU,3
A08,OSVI,1
D04,ACRU,47
D04,ABBA,23
D10,FAGR,1
D10,ABBA,1
D08,FAGR,8
D08,ACSA,1
D08,ACRU,1
A09,FAGR,9
A09,ABBA,3
A06,ACRU,19
A06,ABBA,12
A06,ACSA,3
A06,FAGR,1
