station,codeTaxa,nombre
C02,ACRU,13
C02,ACSA,2
C01,ACRU,3
C03,ACRU,9
C08,ACRU,2
E02,ACRU,7
E03,ACRU,34
E03,ACSA,14
C05,ACRU,0
C05,ACSA,5
C06,ACSA,5
C06,ACRU,3
B01,ACRU,1
B01,THOC,2
B01,ACSA,1
C10,ACRU,5
D07,ACSA,2
A01,THOC,5
A01,ACRU,2
A02,ACRU,11
A02,THOC,1
A03,ACRU,7
A03,ACSA,1
A04,ACRU,4
A04,ABBA,1
A05,ACRU,8
A05,ACSA,6
B00,THOC,5
B00,ACRU,2
D09,ACSA,5
D09,FAGR,5
D09,ACRU,2
D05,ACRU,4
D05,ACSA,12
D02,ACRU,3
D01,ABBA,1
D01,ACRU,2
D01,THOC,7
E04,ACRU,6
E04,ACSA,2
E07,ACSA,15
B02,POTR,2
B02,THOC,1
B03,ACRU,10
B03,ABBA,1
B03,THOC,2
B04,ACRU,7
B04,ACSA,6
B06,ACSA,4
B06,ACRU,5
C04,ACSA,1
D08,ACSA,11
D08,ACPE,18
D08,ACRU,2
D03,ACRU,6
D03,ACSA,1
D03,BEPA,1
E06,ACRU,6
E06,ABBA,2
E06,PIST,1
E06,ACSA,4
E05,ACRU,3
E05,ABBA,1
E08,ACRU,3
E08,ACSA,17
E08,FAGR,1
E09,ACSA,4
E09,ACRU,7
E09,FAGR,1
E10,ACSA,6
B05,ACSA,12
B05,ACRU,7
A07,ACSA,12
A07,ACRU,4
A09,ACSA,6
A08,ACRU,9
A08,ACSA,2
A08,POTR,4
D10,ACRU,9
D10,ACSA,15
D10,ACPE,4
D04,ABBA,2
D04,ACRU,3
A09,ACSA,6
D06,ACSA,2
D06,ACRU,23
D06,BEPA,1
D06,FAGR,1
D06,BEAL,1
A06,ACRU,18
A06,ACSA,1
